"Term","AKA","Definition","Category","Tags","BlogLink","Slug"
"Cognitive Dissonance","I meant to do that","The mental discomfort you feel when holding two contradictory beliefs. Your brain's PR department kicks in and rewrites history so you still feel like a rational person. Spoiler: you're not.","Cognitive","Cognitive, Biases","blog/cognitive-dissonance.html","cognitive-dissonance"
"Confirmation Bias","Googling until you're right","The tendency to search for, interpret, and remember information that confirms what you already believe. It's the reason your uncle is so confident about those conspiracy theories — he did ""research.""","Cognitive","Cognitive, Biases","","confirmation-bias"
"Dunning-Kruger Effect","Mount Stupid","People with limited competence in a domain tend to massively overestimate their ability. Meanwhile, actual experts underestimate theirs. The universe has a deeply ironic sense of humor.","Cognitive","Cognitive, Metacognition","blog/dunning-kruger.html","dunning-kruger-effect"
"Anchoring Bias","The first number wins","The first piece of information you encounter disproportionately influences all your subsequent judgments. This is why that ""was $500, now $199"" tag works on you every single time. You're welcome, retail industry.","Cognitive","Cognitive, Decision Making","","anchoring-bias"
"Sunk Cost Fallacy","But I already paid for it","Continuing a behavior because of previously invested resources (time, money, effort) rather than future benefits. It's why you finish terrible movies, stay in dead-end jobs, and eat the rest of that massive burrito.","Cognitive","Cognitive, Decision Making","blog/sunk-cost-fallacy.html","sunk-cost-fallacy"
"Availability Heuristic","If I can picture it, it must be common","Judging the likelihood of events based on how easily examples come to mind. This is why you think shark attacks are common (dramatic) but don't worry about falling furniture (boring, yet deadlier).","Cognitive","Cognitive, Heuristics","","availability-heuristic"
"Hindsight Bias","I knew it all along","After learning the outcome of an event, you suddenly feel like you predicted it. No, Karen, you didn't ""always know"" that relationship wouldn't work out. Your memory is just a revisionist historian.","Cognitive","Cognitive, Memory","","hindsight-bias"
"Choice Overload","The jam study problem","Having too many options leads to decision paralysis, anxiety, and less satisfaction with whatever you choose. Explains why you spend 45 minutes choosing a Netflix show and then watch The Office again.","Cognitive","Cognitive, Decision Making","","choice-overload"
"Peak-End Rule","The finale matters most","You judge experiences based on the most intense moment and the ending, not the average. A colonoscopy study proved this. Yes, someone designed a study about making colonoscopies feel better. Science is wild.","Cognitive","Cognitive, Memory","","peak-end-rule"
"Framing Effect","It's all in how you say it","People react differently to the same information depending on how it's presented. ""90% survival rate"" sounds great. ""10% chance of death"" sounds terrifying. Same math. Different vibes.","Cognitive","Cognitive, Decision Making","","framing-effect"
